COMPOSE;DocNum;COMPOSANT;QTE_T;ETAPES
SR50RAL7045;1021616;SR21RAL7045;255;1021616,1
SR50RAL7045;1021616;KR.KR;255;1021616,2
AK210RAL7012;1021614;SR21RAL7012;15,844;1021614,1
AK210RAL7012;1021614;AK210BASE.ANTICO.NEUTRE;4,686;1021614,2
AK210RAL7012;1021614;X5801;1,25;1021614,3
AK210RAL7012;1021614;X1522;0,22;1021614,4
AK210RAL7012;1021614;X1522;0,44;1021614,5
SR21RAL6025;1021611;DEPOTAGE;233,2;1021611,1
SR60RAL6025;1021610;SR21RAL6025;36;1021610,1
SR60RAL6025;1021610;KR.KR;24;1021610,2
SR60RAL6025;1021610;X1522;0,6;1021610,3
