COMPOSE;DocNum;COMPOSANT;QTE_T
KY38SCREB.RGE.BRUN;1020809;X6206;1863.000000
KY38SCREB.RGE.BRUN;1020809;X5706;234.000000
KY38SCREB.RGE.BRUN;1020809;X7202;669.606000
KY38SCREB.RGE.BRUN;1020809;X7106;607.622000
KY38SCREB.RGE.BRUN;1020809;X1301;70.477000
KY38SCREB.RGE.BRUN;1020809;X1303;42.316000
KY38SCREB.RGE.BRUN;1020809;X1527;106.684000
KY38SCREB.RGE.BRUN;1020809;X3308;881.335000
KY38SCREB.RGE.BRUN;1020809;X3006;7061.000000
KY38SCREB.RGE.BRUN;1020809;X6206;1601.601000
KY38SCREB.RGE.BRUN;1020809;X1314;74.649000
KY38SCREB.RGE.BRUN;1020809;Y8204/CC;84.632000
KY38SCREB.RGE.BRUN;1020809;S5500;30.694000
KY38SCREB.RGE.BRUN;1020809;S3500;59.898000
KY38SCREB.RGE.BRUN;1020809;X7202;620.000000
KY38SCREB.RGE.BRUN;1020809;SYR60RAL3020;100.000000
KY38SCREB.RGE.BRUN;1020809;X5705;25.000000
KY38SCREB.RGE.BRUN;1020809;X9999;675.000000
KY38SCREB.RGE.BRUN;1020809;S6500;3.200000
KY38SCREB.RGE.BRUN;1020809;S5500;27.200000
KY38SCREB.RGE.BRUN;1020809;S9000;12.000000
KY38SCREB.RGE.BRUN;1020809;X7202;340.000000
KR39RAL9010;1021029;X6304;782.628000
KR39RAL9010;1021029;X5706;85.470000
KR39RAL9010;1021029;X1301;21.882000
KR39RAL9010;1021029;X1303;14.742000
KR39RAL9010;1021029;X7202;424.410000
KR39RAL9010;1021029;X7203;57.204000
KR39RAL9010;1021029;X1527;16.842000
KR39RAL9010;1021029;X3103;421.386000
KR39RAL9010;1021029;X3006;1465.884000
KR39RAL9010;1021029;X3023;509.712000
KR39RAL9010;1021029;X1502;12.054000
KR39RAL9010;1021029;X6304;215.712000
KR39RAL9010;1021029;X1314;11.424000
KR39RAL9010;1021029;X1401;28.182000
KR39RAL9010;1021029;Y8204/CC;52.164000
KR39RAL9010;1021029;X7202;80.262000
KY38RAL8012;1021123;X6206;604.000000
KY38RAL8012;1021123;X5706;68.096000
KY38RAL8012;1021123;X7202;119.168000
KY38RAL8012;1021123;X7106;152.038000
KY38RAL8012;1021123;X1301;19.342000
KY38RAL8012;1021123;X1303;12.008000
KY38RAL8012;1021123;X1527;29.412000
KY38RAL8012;1021123;X3103;14.326000
KY38RAL8012;1021123;X3211;8.132000
KY38RAL8012;1021123;X3308;146.528000
KY38RAL8012;1021123;X3604;32.414000
KY38RAL8012;1021123;X3006;1986.000000
KY38RAL8012;1021123;X6206;303.734000
KY38RAL8012;1021123;X1314;19.342000
KY38RAL8012;1021123;Y8204/CC;21.660000
KY38RAL8012;1021123;X7202;94.810000
KY38RAL8012;1021123;X9999;170.000000
KY38RAL8012;1021123;S9000;17.200000
KY38RAL8012;1021123;S9005;9.360000
KY38RAL8012;1021123;S3500;27.800000
KY38RAL8012;1021123;X7202;65.000000
CW42BLC;1021319;X0000;79.344000
CW42BLC;1021319;X0000;529.032000
CW42BLC;1021319;X1322;11.904000
CW42BLC;1021319;X1606;6.192000
CW42BLC;1021319;X1604;2.856000
CW42BLC;1021319;X3103;393.072000
CW42BLC;1021319;X3024;108.456000
CW42BLC;1021319;X3006;393.072000
CW42BLC;1021319;X3007;393.600000
CW42BLC;1021319;X1519;8.568000
CW42BLC;1021319;X5903;404.712000
CW42BLC;1021319;X1323;3.600000
CW42BLC;1021319;X1604;2.160000
CW42BLC;1021319;X1349;0.480000
CW42BLC;1021319;X7602;35.976000
CW42BLC;1021319;DW21BLC;24.000000
CW42BLC;1021320;X0000;79.344000
CW42BLC;1021320;X0000;529.032000
CW42BLC;1021320;X1322;11.904000
CW42BLC;1021320;X1606;6.192000
CW42BLC;1021320;X1604;2.856000
CW42BLC;1021320;X3103;393.072000
CW42BLC;1021320;X3024;108.456000
CW42BLC;1021320;X3006;393.072000
CW42BLC;1021320;X3007;393.600000
CW42BLC;1021320;X1519;8.568000
CW42BLC;1021320;X5903;404.712000
CW42BLC;1021320;X1323;3.600000
CW42BLC;1021320;X1604;2.160000
CW42BLC;1021320;X1349;0.480000
CW42BLC;1021320;X7602;35.976000
CW42BLC;1021320;DW21BLC;24.000000
AK210RAL9016;1021346;SR21RAL9016;380.266000
AK210RAL9016;1021346;AK210BASE.ANTICO.NEUTRE;112.464000
AK210RAL9016;1021346;X5801;29.990000
AK210RAL9016;1021346;X1522;5.280000
AK210RAL9016;1021346;X1522;11.000000
FY32RAL9005;1021369;X90009;701.917000
FY32RAL9005;1021369;X5706;106.780000
FY32RAL9005;1021369;X7101;106.780000
FY32RAL9005;1021369;X1336;13.205000
FY32RAL9005;1021369;X1527;7.999000
FY32RAL9005;1021369;X3600;66.994000
FY32RAL9005;1021369;X3806;25.992000
FY32RAL9005;1021369;X3023;325.964000
FY32RAL9005;1021369;X3024;171.380000
FY32RAL9005;1021369;X1504;11.191000
FY32RAL9005;1021369;X7101;31.996000
FY32RAL9005;1021369;X1502;2.603000
FY32RAL9005;1021369;X6501;155.192000
FY32RAL9005;1021369;X1297;21.793000
FY32RAL9005;1021369;X1202;6.992000
FY32RAL9005;1021369;X1209;12.198000
FY32RAL9005;1021369;X1204;2.394000
FY32RAL9005;1021369;Y8137;38.589000
FY32RAL9005;1021369;X7101;79.990000
FY32RAL9005;1021369;X7101;9.994000
KY38BRUN.RGE.OXYDE.3009;1021392;X6206;2069.000000
KY38BRUN.RGE.OXYDE.3009;1021392;X5706;253.119000
KY38BRUN.RGE.OXYDE.3009;1021392;X7202;838.587000
KY38BRUN.RGE.OXYDE.3009;1021392;X7106;390.312000
KY38BRUN.RGE.OXYDE.3009;1021392;X1301;76.172000
KY38BRUN.RGE.OXYDE.3009;1021392;X1303;44.202000
KY38BRUN.RGE.OXYDE.3009;1021392;X1527;108.281000
KY38BRUN.RGE.OXYDE.3009;1021392;X3308;311.082000
KY38BRUN.RGE.OXYDE.3009;1021392;X3604;38.086000
KY38BRUN.RGE.OXYDE.3009;1021392;X3318;440.630000
KY38BRUN.RGE.OXYDE.3009;1021392;X3006;7091.000000
KY38BRUN.RGE.OXYDE.3009;1021392;X6206;1242.660000
KY38BRUN.RGE.OXYDE.3009;1021392;X1314;71.724000
KY38BRUN.RGE.OXYDE.3009;1021392;Y8204/CC;85.346000
KY38BRUN.RGE.OXYDE.3009;1021392;X7202;164.715000
KY38BRUN.RGE.OXYDE.3009;1021392;KY39BRUN.RGE.OXYDE.3009.EURO;1080.000000
