COL1_RESSOURCE;IDENTIFIANT;ACTIVITE;TPS1;TPS2;TPS3;TPS4;DATE_DEBUT;DATE_FIN;COULEUR;CHAMP_LIBRE;PRODUCT_REF;CUSTOMER_REF;ORDER_REF;PREDECESSEURS;DATE_CIBLE;QUANTITE;LOCK;LOCKDATE;ASSIGNATION_NAME;CUD;FAMILLE
Bal1;1021610,1;1021610;0;2;0;0;21/02/2022 08:00;21/02/2022 10:00;olive;SR60RAL6025;SR60RAL6025;;;1021610.0;;60;;;;;Balances
Qual1;1021610,2;1021610;0;1;0;0;21/02/2022 08:00;21/02/2022 09:00;pink;SR60RAL6025;SR60RAL6025;;;1021610.1;;60;;;;; 
Tab1;1021610,3;1021610;0;5;0;0;21/02/2022 08:00;21/02/2022 13:00;black;SR60RAL6025;SR60RAL6025;;;1021610.2;13/03/2022;60;;;;; 
Bal1;1021614,1;1021614;0;2;0;0;21/02/2022 08:00;21/02/2022 10:00;olive;AK210RAL7012;AK210RAL7012;;;1021614.0;;22;;;;;Balances
Qual1;1021614,2;1021614;0;1;0;0;21/02/2022 08:00;21/02/2022 09:00;pink;AK210RAL7012;AK210RAL7012;;;1021614.1;;22;;;;; 
Tab1;1021614,3;1021614;0;5;0;0;21/02/2022 08:00;21/02/2022 13:00;black;AK210RAL7012;AK210RAL7012;;;1021614.2;;22;;;;; 
Qual1;1021614,4;1021614;0;1;0;0;21/02/2022 08:00;21/02/2022 09:00;pink;AK210RAL7012;AK210RAL7012;;;1021614.3;;22;;;;; 
Tab1;1021614,5;1021614;0;5;0;0;21/02/2022 08:00;21/02/2022 13:00;blue;AK210RAL7012;AK210RAL7012;;;1021614.4;07/03/2022;22;;;;; 
Bal1;1021616,1;1021616;0;2;0;0;21/02/2022 08:00;21/02/2022 10:00;olive;SR50RAL7045;SR50RAL7045;;;1021616.0;;510;;;;;Balances
Qual1;1021616,2;1021616;0;1;0;0;21/02/2022 08:00;21/02/2022 09:00;pink;SR50RAL7045;SR50RAL7045;;;1021616.1;15/03/2022;510;;;;; 
